id,screenName,location,text,created
1.61e+18,PatStango,New York,"Me and @NicksTurners are predicting the #GoldenGlobes awards on a new episode of THE SHOW ME THE MONEY on the @TheSGPNetwork . Will Elvis take his rightful place alongside Pia Zadora as a Globe winner? Only we know.

https://t.co/PlukuRvLSZ",2023/1/7 16:09
1.61e+18,Caracas_Radio,Caracas,"Nominaciones a los #GoldenGlobes 2023: ""The Banshees of Inisherin"" con 8 nominaciones, ""Everything Everywhere All At Once"" con 6, seguidas de la saga de Hollywood ""Babylon"" y la historia de Spielberg ""The Fabelmans"", con 5 cada una.#FelizSÃ¡bado #7Ene
https://t.co/wqYWvC3mwQ",2023/1/7 16:05
1.61e+18,primerafila,"Ciudad de MÃ©xico, MÃ©xico",#Elvis #GlassOnion y #Pinocho son algunas de las pelÃ­culas que aspiran a un premio en los #GoldenGlobes. Te reunimos una lista con las cintas bÃ¡sicas para estar listos para la gala #RegÃ­strateGratis https://t.co/XHZ9ejzMnb,2023/1/7 11:07
1.61e+18,GoldenWinter_28,"Brooklyn, NY",Alright!! #GoldenGlobes #Goldenglobes2023 #Predications Here are my takes for what is taking home the globe on the film side! Can't wait to discuss further next week! #ElvisMovie #Elvis2022 #TopGun #TAR #EEAAO #bansheesofinisherin #AustinButler #Avatar https://t.co/oLnvHvs8Oz,2023/1/7 04:00
1.61e+18,ClaroVideoMx,MÃ©xico,Â¿Merece Austin Butler ganar el Globo de Oro a Mejor Actor? ___ Piensa tu respuesta mientras ves Elvis a precio especial. __ __ https://t.co/buTsrRyJcA #GoldenGlobes https://t.co/93I0WHb3kP,2023/1/6 21:45
1.61e+18,ClaroVideo,,Â¿Merece Austin Butler ganar el Globo de Oro a Mejor Actor? ___ Piensa tu respuesta mientras ves Elvis a precio especial. __ __ https://t.co/4ulfQQOxNW #GoldenGlobes https://t.co/dH5eNmcXMT,2023/1/6 21:45
1.61e+18,goldenglobes,"Hollywood, California",Read our 2023 #GoldenGlobes nominee profile -- Elvis: https://t.co/jRvOiPDHVq https://t.co/ucPPkjfvrI,2023/1/6 20:46
1.61e+18,SeeYou_InTheSky,Sky,"Top Gun: Maverick ha sido nominado en 2 categorÃ­as en la 80Âª ediciÃ³n de los Globos de Oro: _ Mejor PelÃ­cula - Drama _ Mejor CanciÃ³n Original - PelÃ­cula (""Hold My Hand"") Los ganadores se anunciarÃ¡n el 10 de enero de 2023. #GoldenGlobes",2023/1/6 19:48
1.61e+18,CineboxMX,Veracruz,Â¡Muchas felicidades a todo el equipo de #BabylonLaPelÃ­cula! este Martes 10 de enero son los #GoldenGlobes https://t.co/okgn5Ihk3i,2023/1/6 19:01
1.61e+18,PeopleWorld_1,United Kingdom,"After a massive breakthrough in 2022, this year could be Austin Butler's biggest yet __

He's been shortlisted for some huge awards, and then there's his high-profile girlfriend _¤ï_

#AustinButler #BAFTAS #GoldenGlobes #ElvisMovie 

https://t.co/k1vBdAEO7p",2023/1/6 17:45
1.61e+18,paramountpicsph,,"#BabylonMovie is nominated for 5 #GoldenGlobes, including Best Motion Picture, Musical or Comedy. Experience BABYLON in cinemas FEB 1. https://t.co/TFpwvZICq8",2023/1/6 08:00
1.61e+18,uipmoviesph,Republic of the Philippines,"#BabylonMovie is nominated for 5 #GoldenGlobes, including Best Motion Picture, Musical or Comedy. Experience BABYLON in cinemas FEB 1. https://t.co/cq8tHbVG3u",2023/1/6 08:00
1.61e+18,neilnicholson,"North Carolina, USA | ________","My Top 10 @goldenglobes Nominees.
10. INU-OH
9. TAR
8. Avatar The Way Of Water
7. Turning Red
6. Mrs. Harris Goes To Paris
5. Everything Everywhere All At Once
4. Elvis
3. The Menu
2. The Woman King
1. Top Gun Maverick

What does your #GoldenGlobes list look like ? https://t.co/PecQwFpKKf",2023/1/6 04:57
1.61e+18,awards_watch,"San Francisco, CA","2023 Golden Globes predictions - MOTION PICTURE: 'The Fabelmans,' Elvis,' 'Banshees' and 'Everything Everywhere' vying for wins https://t.co/E2S8UJg7Xe #GoldenGlobes #GoldenGlobes2023",2023/1/5 17:13
1.61e+18,NextBestPicture,"Brooklyn, NY","Our Predictions &amp; Contest For The 2023 Golden Globe Awards

#GoldenGlobes #GoldenGlobes2023 #GoldenGlobesAwards #GG #HFPA #Awards #AwardsSeason #FYC #Oscars #EverythingEverywhereAllAtOnce #TheFabelmans #Elvis #TheBansheesOfInisherin #FilmTwitter
https://t.co/sUz1TMo45c",2023/1/5 16:17
1.61e+18,psicopato_bol,Santa Cruz de la Sierra,"Babylon reciÃ©n podrÃ¡ ser vista en Bolivia el 19 de Enero, es la Ãºnica pelÃ­cula de las 10 nominadas para los #GoldenGlobes que no podremos ver antes,ya que llega tarde, no estÃ¡ en ninguna plataforma y tampoco en versiÃ³n digital. MÃ¡s bien llega antes de los Oscar. https://t.co/2qmpKooExb",2023/1/5 14:45
1.61e+18,Cienega_cine,,"Mejor PelÃ­cula de Drama

Avatar: El camino del agua
Elvis
The Fabelmans
TÃ¡r
Top Gun: Maverick

#GoldenGlobes https://t.co/0uR60sjuKH",2023/1/3 22:16
1.61e+18,Cienega_cine,,"Mejor Actor en una PelÃ­cula de Drama

Austin Butler  _ Elvis
Brendan Fraser  _ The Whale
Hugh Jackman  _ The Son
Billy Nighy  _ Living
Jeremy Papa  _ The Inspection

#GoldenGlobes https://t.co/dbJWVxLSw9",2023/1/3 22:16
1.61e+18,Cienega_cine,,"Mejor PelÃ­cula Musical o Comedia

Babylon
The Banshees Of Inisherin
Todo en todas partes al mismo tiempo
Glass Onion: Un misterio de Knives Out
Triangle of Sadness

#GoldenGlobes https://t.co/7V6ACm7hZW",2023/1/3 22:16
1.61e+18,Cienega_cine,,"Mejor pelÃ­cula animada

Pinocho de Guillermo del Toro
Inu-Oh
Marcel The Shell With Shoes On
Gato con Botas: El Ãºltimo deseo
Red

#GoldenGlobes https://t.co/cYZV0ybCMM",2023/1/3 22:16
1.61e+18,Cienega_cine,,"Mejor Director

James Cameron _ Avatar: El camino del agua
Daniel Kwan, Daniel Scheinerte _ Todo en todas partes al mismo tiempo
Baz Luhrmann _ Elvis
Martin Mcdonagh _ The Banshees Of Inisherin
Steven Spielberg _ The Fabelmans

#GoldenGlobes https://t.co/Bx2ZVht5BS",2023/1/3 22:16
1.61e+18,lipton123,,Golden Globes is coming. Quentin Tarantino will present. I need someone asks him about Babylon because Babylon is crazier than Tarantino's movies. #goldenglobes #quentintarantino #babylon #bradpitt,2023/1/3 17:50
1.61e+18,WarnerBrosSG,Singapore,"#ElvisMovie has been nominated for 3 #GoldenGlobes, including Best Motion Picture - Drama, @BazLuhrmann for Best Director - Motion Picture, and @AustinButler for Best Actor - Motion Picture Drama. Congratulations! https://t.co/vheXGGXAeo",2023/1/3 05:00
1.61e+18,TheEricButts,"Lexington, KY",Gonna check out #Babylon as we continue our #GoldenGlobes_ / #Oscars watch at @RegalMovies https://t.co/CLEDqJKxYJ,2023/1/2 23:15
1.61e+18,Bengiamino,Bologna,#GoldenGlobes 2023 #AvatarTheWayofWater #Elvis #TheFabelmans #TÃ¡r #TopGunMaverick #Babylon #TheBansheesofInisherin #EverythingEverywhereAllatOnce #GlassOnion #AKnivesOutMystery #TriangleofSadness #Pinocchio #InuOh #PussinBoots #TurningRed #HollywoodCiak https://t.co/d0UHXIuPOs,2023/1/1 22:06
1.61e+18,helveciodias,"Serro, Brasil","Atualizando minha lista pro #GoldenGlobes_ 2023:

__Os Banshees de Inisherin
__Os Fabelmans
__Elvis
__Tudo em Todo Lugar ao Mesmo Tempo
__uÃ­do Branco
__Nada de Novo no Front
_¶ï_Ozark
__Abbott Elementary
__Black Bird
__Pam &amp; Tommy
__The White Lotus",2023/1/1 14:12
1.61e+18,cinemaecritica,,"Triangle of Sadness: L__ccentrica Genialit_
Scopri i Segreti del Film Cult su:
https://t.co/YNRpfMwCLe
#Cinema #triangleofsadness #Oscar #news #notizie #BoxOffice #ZoeSaldana #TheMenu #soloalcinema #WakandaForever #AnyaTaylorJoy #Rai1 #goldenglobes #TheFabelmans #Avatar2 #skytg24 https://t.co/LmVp56z1cG",2023/1/1 07:59
1.61e+18,goldenglobes,"Hollywood, California",Read our 2023 #GoldenGlobes nominee profile -- Babylon: https://t.co/haFEkMaT0F https://t.co/9FqnWHB8LQ,2022/12/31 18:30
