"nomination-db-card__name","nomination-db-card__name href","nomination-db-card__name href 2","nomination-db-card__nominee__label","nomination-db-card__award","nomination-db-card__award-film","nomination-db-card__award-film href","nomination-db-card__results 2","nomination-db-card__total-awards 3","nomination-db-card__results 3","nomination-db-card__results href","nomination-db-card__total-awards 4","nomination-db-card__results 4","nomination-db-card__results href 2","nomination-db-card__results 5","nomination-db-card__results href 3","nomination-db-card__results 6","nomination-db-card__results href 4","nomination-db-card__total-awards 5","nomination-db-card__results 7","nomination-db-card__results href 5","nomination-db-card__results 8","nomination-db-card__results href 6","nomination-db-card__results 9","nomination-db-card__results href 7"
"Julia Garner","https://www.goldenglobes.com/person/julia-garner","https://www.goldenglobes.com/person/julia-garner","Winner","Best Supporting Actress - Television Series","- Ozark","https://www.goldenglobes.com/tv-show/ozark","3 Nominations, 1 Win","Director","Jason Bateman","https://www.goldenglobes.com/person/jason-bateman","Producer","Jason Bateman,","https://www.goldenglobes.com/person/jason-bateman","Patrick Markey","https://www.goldenglobes.com/person/patrick-markey","Jason Bateman,","https://www.goldenglobes.com/person/jason-bateman","Cast","Laura Linney,","https://www.goldenglobes.com/person/laura-linney","Janet McTeer,","https://www.goldenglobes.com/person/janet-mcteer","Julia Garner","https://www.goldenglobes.com/person/julia-garner"
"Cate Blanchett","https://www.goldenglobes.com/person/cate-blanchett","https://www.goldenglobes.com/person/cate-blanchett","Winner","Best Actress - Motion Picture - Drama","- TÁR","https://www.goldenglobes.com/film/tar","12 Nominations, 4 Wins","Director","Todd Field","https://www.goldenglobes.com/person/todd-field","Writer","Todd Field","https://www.goldenglobes.com/person/todd-field","Cate Blanchett,","https://www.goldenglobes.com/person/cate-blanchett","Alec Baldwin","https://www.goldenglobes.com/person/alec-baldwin","Cast","","","","","",""
"Julia Garner","https://www.goldenglobes.com/person/julia-garner","https://www.goldenglobes.com/person/julia-garner","Nominee","Best Actress - Limited Series, Anthology Series or Television Motion Picture","- Inventing Anna","https://www.goldenglobes.com/tv-show/inventing-anna","3 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Naatu Naatu","","","Winner","Best Song - Motion Picture","- RRR","https://www.goldenglobes.com/film/rrr","1 Nomination, 1 Win","Music Score","M.M. Keeravaani","https://www.goldenglobes.com/person/mm-keeravaani","Lyrics","Chandrabose","https://www.goldenglobes.com/person/chandrabose","","","","","","","","","","",""
"Amanda Seyfried","https://www.goldenglobes.com/person/amanda-seyfried","https://www.goldenglobes.com/person/amanda-seyfried","Winner","Best Actress - Limited Series, Anthology Series or Television Motion Picture","- Dropout, The","https://www.goldenglobes.com/tv-show/dropout","2 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Angela Bassett","https://www.goldenglobes.com/person/angela-bassett","https://www.goldenglobes.com/person/angela-bassett","Winner","Best Supporting Actress - Motion Picture","- Black Panther: Wakanda Forever","https://www.goldenglobes.com/film/black-panther-wakanda-forever","2 Nominations, 2 Wins","","","","","","","","","","","","","","","","",""
"Jeremy Allen White","https://www.goldenglobes.com/person/jeremy-allen-white","https://www.goldenglobes.com/person/jeremy-allen-white","Winner","Best Television Actor - Musical/Comedy Series","- Bear, The","https://www.goldenglobes.com/tv-show/bear","1 Nomination, 1 Win","","","","","","","","","","","","","","","","",""
"Niecy Nash-Betts","https://www.goldenglobes.com/person/niecy-nash-betts","https://www.goldenglobes.com/person/niecy-nash-betts","Nominee","Best Supporting Actress - Television Limited Series/Motion Picture","- Dahmer - Monster: The Jeffrey Dahmer Story","https://www.goldenglobes.com/tv-show/dahmer-monster-jeffrey-dahmer-story","1 Nomination","","","","","","","","","","","","","","","","",""
"Richard Jenkins","https://www.goldenglobes.com/person/richard-jenkins","https://www.goldenglobes.com/person/richard-jenkins","Nominee","Best Supporting Actor - Television Limited Series/Motion Picture","- Dahmer - Monster: The Jeffrey Dahmer Story","https://www.goldenglobes.com/tv-show/dahmer-monster-jeffrey-dahmer-story","2 Nominations","","","","","","","","","","","","","","","","",""
"Steven Spielberg","https://www.goldenglobes.com/person/steven-spielberg","https://www.goldenglobes.com/person/steven-spielberg","Nominee","Best Screenplay - Motion Picture","- Fabelmans, The","https://www.goldenglobes.com/film/fabelmans","20 Nominations, 4 Wins","Director","Steven Spielberg","https://www.goldenglobes.com/person/steven-spielberg","Writer","Steven Spielberg,","https://www.goldenglobes.com/person/steven-spielberg","Tony Kushner","https://www.goldenglobes.com/person/tony-kushner","Michelle Williams,","https://www.goldenglobes.com/person/michelle-williams","Cast","Paul Dano,","https://www.goldenglobes.com/person/paul-dano","Seth Rogen,","https://www.goldenglobes.com/person/seth-rogen","Judd Hirsch,","https://www.goldenglobes.com/person/judd-hirsch"
"Banshees of Inisherin, The","https://www.goldenglobes.com/film/banshees-inisherin","https://www.goldenglobes.com/film/banshees-inisherin","Winner","Best Picture - Musical/Comedy","","","8 Nominations, 3 Wins","Director","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Writer","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Colin Farrell,","https://www.goldenglobes.com/person/colin-farrell","Brendan Gleeson,","https://www.goldenglobes.com/person/brendan-gleeson","Cast","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Barry Keoghan","https://www.goldenglobes.com/person/barry-keoghan","",""
